generation,Wmax,Wmin,Pmax,Pmin,Fmax,Fmin,Wmean,Pmean,Fmean,Max_CVM,Mean_CVM,Min_CVM,Fit_maxPareto,Fit_meanPareto,fitValue,NWmax,NWmin,NPmax,NPmin,NFmax,NFmin,NWmean,NPmean,NFmean
0,36.688826,18.115482,2076.198152,1904.320749,2.560907,1.175313,26.768301,1999.789451,1.651583,3.000000,3.000000,3.000000,2097.734164,2059.731805,1925.915295,0.658449,0.325116,37.261251,34.176591,0.045960,0.021093,0.480407,35.889955,0.029641
1,30.576439,18.115482,2055.109451,1929.298152,2.560907,0.700046,26.422787,2013.172351,1.503589,6.000000,5.100000,3.000000,2081.214094,2074.045313,1944.252931,0.817926,0.484593,54.974629,51.609149,0.068505,0.018726,0.706815,53.852802,0.040221
2,31.765609,18.115482,2616.734271,1493.484631,2.560907,0.345978,29.684932,2045.431659,0.794068,9.000000,6.300000,3.000000,2646.879041,2078.770612,1524.658570,0.775710,0.442376,63.900121,36.470592,0.062537,0.008449,0.724900,49.949027,0.019391
3,39.984342,29.934033,2692.395454,2033.591441,3.188813,0.384111,32.356261,2263.802726,1.421547,12.000000,7.950000,5.000000,2721.261775,2295.513147,1435.893268,1.326140,0.992806,89.297271,67.447063,0.105762,0.012740,1.073143,75.082360,0.047148
4,35.287184,29.914608,2718.064453,2081.415815,2.274930,0.569302,30.974891,2397.150260,1.127911,18.000000,10.200000,5.000000,2745.536087,2426.196018,1092.799614,2.189340,1.856006,168.638178,129.138281,0.141145,0.035322,1.921790,148.727544,0.069980
5,34.644669,30.156170,2817.796414,1481.383657,2.367864,0.328181,31.549049,1897.520984,0.929904,18.000000,10.350000,5.000000,2847.657809,1886.880957,1093.194018,2.572847,2.239514,209.260475,110.013288,0.175847,0.024372,2.342955,140.917257,0.069058
6,64.342640,29.902475,2735.062023,2096.778081,2.861148,0.535143,38.653211,2404.048411,1.210896,18.000000,11.100000,6.000000,2764.038528,2442.451405,1142.595178,0.622748,0.289415,26.471631,20.293922,0.027692,0.005179,0.374110,23.267876,0.011720
7,36.388488,30.003960,2593.255467,1017.973023,4.559860,0.175760,32.104345,1739.082511,0.828252,18.000000,12.400000,6.000000,2622.208458,1776.805965,1052.742010,1.899826,1.566493,135.392681,53.147906,0.238068,0.009176,1.676153,90.796702,0.043243
8,36.789844,5.847540,2075.083578,947.735154,8.903541,0.093281,30.920844,1438.244042,1.270296,19.000000,13.050000,6.000000,2106.539908,1470.088434,984.304017,0.396327,0.062994,22.354331,10.209702,0.095916,0.001005,0.333102,15.493826,0.013685
9,43.990307,30.681164,2073.535236,1057.861293,1.748246,0.283013,33.991021,1537.730450,0.546361,19.000000,12.800000,6.000000,2104.784660,1571.087845,1096.912540,1.101757,0.768423,51.932599,26.494600,0.043786,0.007088,0.851320,38.513133,0.013684
